weight,height,age,gender,activity_level,goals,dietary_preferences,dietary_restrictions,recommended_recipe
71,153,24,1,2,['Mantener peso'],Baja en grasas,['Sin azúcar'],Ensalada de lentejas y vegetales
59,169,21,0,3,['Perder peso'],Baja en grasas,['Sin azúcar'],Tortilla de claras y espinacas
54,194,55,0,3,['Mejorar digestión'],Baja en azúcares,['Sin lactosa'],Sopa de calabaza y zanahoria
96,195,55,1,2,['Reducir grasa'],Alta en proteínas,[],Sopa de verduras
73,193,45,1,3,['Perder peso'],Equilibrada,['Sin azúcar'],Pechuga a la plancha con brócoli
50,197,22,1,3,['Mantener peso'],Equilibrada,['Sin azúcar'],Yogur con frutos rojos y chía
68,197,33,1,2,['Perder peso'],Baja en carbohidratos,['Sin lactosa'],Pasta integral con vegetales
87,182,54,0,3,['Mejorar digestión'],Baja en carbohidratos,['Vegano'],Ensalada de lentejas y vegetales
78,187,30,0,2,['Perder peso'],Baja en azúcares,['Sin azúcar'],Yogur con frutos rojos y chía
50,175,62,0,1,['Mantener peso'],Alta en fibra,['Sin lactosa'],Pechuga a la plancha con brócoli
100,191,24,1,3,['Perder peso'],Baja en azúcares,[],Sopa de verduras
55,160,61,0,3,['Reducir grasa'],Alta en proteínas,['Vegetariano'],Tortilla de claras y espinacas
81,151,65,1,3,['Mantener peso'],Equilibrada,[],Batido de proteínas y avena
66,155,50,1,2,['Ganar masa muscular'],Baja en carbohidratos,[],Ensalada de pollo y quinoa
52,161,41,0,2,['Mejorar digestión'],Alta en proteínas,['Sin azúcar'],Ensalada de pollo y quinoa
92,191,43,1,1,['Mantener peso'],Baja en carbohidratos,['Sin lactosa'],Smoothie de frutas y espinacas
85,168,27,1,2,['Ganar masa muscular'],Alta en proteínas,['Sin lácteos'],Ensalada de pollo y quinoa
67,186,46,1,1,['Perder peso'],Equilibrada,[],Sopa de calabaza y zanahoria
99,160,61,1,3,['Ganar masa muscular'],Baja en carbohidratos,[],Sopa de verduras
54,169,65,0,1,['Mejorar digestión'],Alta en proteínas,['Vegetariano'],Tortilla de claras y espinacas
70,164,42,0,3,['Reducir grasa'],Baja en grasas,[],Yogur con frutos rojos y chía
59,155,42,0,2,['Mejorar digestión'],Equilibrada,['Sin lácteos'],Smoothie de frutas y espinacas
90,177,53,0,1,['Mejorar digestión'],Alta en fibra,['Vegano'],Ensalada de lentejas y vegetales
87,198,43,1,3,['Mantener peso'],Baja en carbohidratos,['Vegano'],Smoothie de frutas y espinacas
93,156,29,0,3,['Mantener peso'],Equilibrada,['Sin frutos secos'],Tostadas con aguacate y huevos
65,190,60,0,3,['Perder peso'],Baja en carbohidratos,['Sin gluten'],Smoothie de frutas y espinacas
78,199,44,1,1,['Mejorar digestión'],Alta en fibra,['Sin gluten'],Pasta integral con vegetales
57,160,55,0,2,['Reducir grasa'],Baja en carbohidratos,['Sin gluten'],Yogur con frutos rojos y chía
58,150,24,1,3,['Mejorar digestión'],Baja en azúcares,['Sin gluten'],Ensalada de lentejas y vegetales
60,183,27,0,1,['Perder peso'],Equilibrada,['Vegetariano'],Sopa de calabaza y zanahoria
62,160,23,0,2,['Aumentar energía'],Baja en carbohidratos,['Sin gluten'],Sopa de verduras
53,192,51,0,3,['Perder peso'],Baja en azúcares,['Sin frutos secos'],Tortilla de claras y espinacas
57,165,18,1,2,['Aumentar energía'],Baja en azúcares,['Sin frutos secos'],Ensalada de lentejas y vegetales
79,173,31,1,1,['Mantener peso'],Baja en azúcares,[],Sopa de verduras
50,182,50,0,2,['Mejorar digestión'],Alta en proteínas,['Sin lactosa'],Yogur con frutos rojos y chía
58,175,57,0,1,['Aumentar energía'],Baja en azúcares,[],Batido de proteínas y avena
65,157,35,1,3,['Mejorar digestión'],Alta en fibra,['Vegano'],Tostadas con aguacate y huevos
93,183,27,1,1,['Perder peso'],Alta en fibra,['Sin frutos secos'],Smoothie de frutas y espinacas
82,195,64,0,1,['Ganar masa muscular'],Baja en grasas,['Sin lactosa'],Tortilla de claras y espinacas
81,162,29,0,2,['Perder peso'],Baja en azúcares,['Sin lácteos'],Batido de proteínas y avena
50,151,53,0,3,['Mejorar digestión'],Alta en fibra,['Sin azúcar'],Pasta integral con vegetales
93,187,58,0,1,['Aumentar energía'],Alta en proteínas,['Sin lácteos'],Sopa de verduras
73,183,20,0,2,['Aumentar energía'],Baja en grasas,['Vegetariano'],Smoothie de frutas y espinacas
67,193,32,0,1,['Ganar masa muscular'],Alta en proteínas,['Vegano'],Sopa de calabaza y zanahoria
58,178,20,1,3,['Mantener peso'],Alta en fibra,['Vegano'],Arroz integral con pollo
93,169,40,1,2,['Ganar masa muscular'],Baja en carbohidratos,[],Pechuga a la plancha con brócoli
91,198,26,1,2,['Mantener peso'],Baja en carbohidratos,['Sin azúcar'],Batido de proteínas y avena
86,188,26,0,2,['Aumentar energía'],Alta en fibra,['Sin frutos secos'],Yogur con frutos rojos y chía
85,165,65,0,2,['Ganar masa muscular'],Baja en azúcares,['Sin azúcar'],Sopa de calabaza y zanahoria
